"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"1",2018-03-31,310.90603597,328.13772081,304.18590802,305.56271782,234366.42372755,319.41860072,319.42461032
"2",2018-03-30,328.71149948,333.26372621,303.45764045,311.42163266,267724.39993121,319.09663097,318.76212297
"3",2018-03-29,350.83698201,350.90898415,318.06902752,329.05748181,318610.19327608,332.94607497,332.87834942
"4",2018-03-28,354.41036216,367.55983976,348.23019092,350.75196828,318271.80573105,356.6423511,356.90493015
"5",2018-03-27,388.52530925,391.2611409,354.52248092,354.52248092,255285.76261168,371.01030092,370.93346584
"6",2018-03-26,411.4594497,413.70657002,372.8564202,389.94817321,281476.73283421,394.24208001,394.616069
"7",2018-03-25,420.93211928,422.31798633,409.59454276,412.41716371,254552.03201443,416.9175557,416.92500138
"8",2018-03-24,431.38370237,458.88445218,423.2412243,423.2412243,266100.80754085,441.58477031,441.55622573
"9",2018-03-23,411.44023655,430.52986576,392.22775885,430.52986576,255716.69314961,406.3045472,406.30885252
"10",2018-03-22,434.40347702,439.30937341,398.45496802,411.3667231,239614.01116389,420.97377852,420.57469318
"11",2018-03-21,428.54046523,450.14718783,424.72021863,434.6522959,275767.43732554,436.00906561,436.04314537
"12",2018-03-20,410.71872539,442.05974479,399.25763479,428.72381849,268933.111871,415.53379077,415.77071549
"13",2018-03-19,393.0543788,408.84700104,368.16315024,408.84700104,292109.82780424,387.54783832,387.80285128
"14",2018-03-18,386.41234463,392.73401527,341.75491587,392.73401527,313746.8261277,366.64912472,367.01093095
"15",2018-03-17,425.26298699,427.31033003,382.31953828,384.49633043,257428.89388792,407.95586291,408.21068672
"16",2018-03-16,417.92122028,432.28547086,403.93352047,425.3571089,244386.85007707,417.99104079,417.83925749
"17",2018-03-15,425.45371797,430.33080895,392.649563,417.89923281,233784.42547384,414.27604494,414.34348609
"18",2018-03-14,486.79344089,493.81723721,418.46878115,425.67630159,232962.57030465,464.41338849,466.38970319
"19",2018-03-13,499.63533228,513.05444645,479.86159813,486.84465478,180561.3108273,493.3382399,493.39906639
"20",2018-03-12,529.01886205,547.88041166,486.4948933,501.2405925,178153.36982256,522.39207088,522.11022213
"21",2018-03-11,483.0186951,546.14226017,468.45424916,530.1664749,198985.933986,501.61110029,501.44599125
"22",2018-03-10,498.03218524,528.18796097,478.1011335,483.61923523,197401.63952471,508.20427807,508.08247113
"23",2018-03-09,492.38145885,499.897855,441.5159181,498.63764837,239548.13660567,465.83917768,466.11712463
"24",2018-03-08,512.46486704,531.07752872,485.70921375,492.47505285,224038.59574669,508.43107277,508.37784159
"25",2018-03-07,577.74075769,586.1730308,506.61439732,514.14921889,217985.45141652,549.41722407,549.74828002
"26",2018-03-06,610.98128855,610.98128855,563.79935864,578.13205159,213602.51529401,585.90513446,586.12280289
"27",2018-03-05,619.28720496,622.11396806,606.95970176,614.71084522,195589.85170149,616.18628354,616.1298211
"28",2018-03-04,609.06049939,620.63055482,594.79606922,619.51092218,193933.93566983,605.5176064,605.38937013
"29",2018-03-03,603.58921481,614.6043655,596.09465927,609.47093666,190682.67362912,607.00056104,607.0075552
"30",2018-03-02,616.50956353,619.90234422,597.6256826,604.17522976,176672.11711433,608.53825082,608.49985612
"31",2018-03-01,583.81565261,622.12474259,580.75188377,615.57958305,175412.95711643,599.19201253,599.05688587
"32",2018-02-28,611.3703548,622.08569733,583.39387253,583.59442996,169986.65845972,602.25766641,602.23064941
"33",2018-02-27,620.89732232,644.27501138,607.09020043,614.77466937,150663.39807238,619.83822339,620.22304044
"34",2018-02-26,589.52941709,629.8354556,579.12765346,620.10804188,122919.90169856,604.45487496,604.48054733
"35",2018-02-25,592.23031143,599.7745389,577.47322865,590.45396726,128082.60038526,589.44897436,589.27851966
"36",2018-02-24,630.69140228,644.66446238,577.37251692,592.59123188,148436.56548832,606.70461037,607.5048503
"37",2018-02-23,630.68139314,651.3201767,607.23274034,631.02649562,138021.37589582,626.64383931,626.92683843
"38",2018-02-22,668.44664104,687.11281415,598.65739457,629.93774322,168818.54325763,643.6997104,642.82364514
"39",2018-02-21,685.81222555,719.38474529,666.43547994,668.30667779,203958.32078453,687.17851477,687.2429815
"40",2018-02-20,728.94925967,738.57775042,683.89746108,683.89746108,185609.59295692,725.95272117,726.39665761
"41",2018-02-19,686.67697316,730.21038322,685.94239134,728.18313104,128708.33155727,712.46817881,712.82270241
"42",2018-02-18,742.77990966,747.77928971,671.72701771,688.91289734,143643.42718594,710.26338503,709.9990529
"43",2018-02-17,697.96641072,745.34973953,693.6951785,741.82764866,160073.73116972,728.26141195,727.87786554
"44",2018-02-16,700.11502741,723.94437535,683.51536056,698.60914934,147398.49178577,698.97175514,698.71811494
"45",2018-02-15,680.09935774,704.88243648,668.22769863,700.68153516,172235.6950582,687.95943671,688.68479165
"46",2018-02-14,593.89943331,682.65598992,593.89943331,680.42465924,211686.32257106,648.6054285,644.0579884
"47",2018-02-13,619.45775216,623.34170715,583.47169139,596.28889089,127113.51052138,601.43902372,601.49230754
"48",2018-02-12,581.47365526,624.82897692,581.47365526,618.85705315,129261.23290725,612.57119976,612.72369578
"49",2018-02-11,633.67211723,633.67211723,560.78954367,580.46825139,143330.3252136,592.52833201,592.64552567
"50",2018-02-10,636.69453978,670.85905971,602.91857667,633.49230745,186507.19199833,639.25050878,639.55023536
"51",2018-02-09,605.12788516,637.23950064,577.548691,636.72243585,159275.83348756,606.27585507,606.09741863
"52",2018-02-08,519.48863197,607.47530712,519.48863197,604.27945043,156753.97435488,572.04952792,572.33572758
"53",2018-02-07,524.7008291,585.25720538,491.6060593,521.49619108,162900.78179901,538.33966255,540.65791402
"54",2018-02-06,449.19687034,533.44673505,383.1759354,528.79370454,230178.61099393,448.52650354,446.71651627
"55",2018-02-05,543.91231191,551.05825481,431.81846403,447.8885585,172921.03629142,499.19761349,501.024893
"56",2018-02-04,634.70029852,646.41138281,531.19152904,548.16144047,149377.5218153,595.52585094,596.27879839
"57",2018-02-03,589.105259,642.98182398,535.00110449,632.39652203,138187.19834623,595.51837654,602.10450827
"58",2018-02-02,615.38442349,615.38442349,447.16310528,586.95125723,250133.64160543,557.82304013,557.90396214
"59",2018-02-01,697.81965772,702.2859165,579.67217434,617.4463328,169755.91910466,647.03870831,650.72896147
"60",2018-01-31,679.23732812,697.87306892,654.92379259,693.44490572,140291.56991664,681.59318911,681.85683528
"61",2018-01-30,766.54972954,778.72779016,673.87909581,673.87909581,167958.42661049,737.06106775,737.57727564
"62",2018-01-29,814.48109148,818.74790715,750.4295325,767.02856967,153350.36066546,774.78054688,774.85621402
"63",2018-01-28,777.49994185,815.88871953,766.38449412,815.0201807,155175.34462171,793.51655457,793.38824164
"64",2018-01-27,784.8769422,789.96135517,754.34988465,776.68636121,146759.37655614,773.63743266,773.61861217
"65",2018-01-26,794.38560566,817.16302829,744.51119943,785.2334828,124274.54255696,781.35111415,781.73504228
"66",2018-01-25,789.77496511,827.30989615,784.97928142,797.36629851,138088.38575294,802.2452615,802.18416959
"67",2018-01-24,762.8467487,795.81198837,736.41507232,783.83704668,138736.53252933,762.99700875,763.32595951
"68",2018-01-23,768.23417046,798.60236485,696.02253899,761.01180093,141579.21270109,758.18909724,759.23860532
"69",2018-01-22,829.705167,848.19330457,714.85506106,769.26073413,142785.00999471,797.33072505,799.26112679
"70",2018-01-21,946.39859849,948.92877627,806.98257808,823.79699084,129925.70346806,864.74341551,861.83800543
"71",2018-01-20,863.9734503,978.36543148,861.1585998,945.72656251,167642.93556107,930.81693953,929.66860708
"72",2018-01-19,842.39017355,882.42557898,814.8939086,859.24642138,146706.12267295,854.05999819,854.01110283
"73",2018-01-18,809.30376386,905.41830136,771.49264164,838.94444235,203391.75466132,842.70843954,844.28975794
"74",2018-01-17,768.1937433,841.70544582,619.98743818,806.42488594,248686.018777,744.86227313,743.76863319
"75",2018-01-16,966.95096736,966.95096736,649.05448547,771.41994175,352151.06938222,843.87386133,854.42130136
"76",2018-01-15,1035.30587825,1058.51565868,968.90094149,968.90094149,177455.13717362,1029.91437409,1030.02340521
"77",2018-01-14,1139.95904611,1145.79621842,1017.66314213,1038.97484154,161457.63036981,1071.5585983,1073.35949048
"78",2018-01-13,1098.07946794,1173.13079779,1098.07946794,1141.63036547,152407.45915799,1146.20814765,1146.28919446
"79",2018-01-12,1039.40295834,1099.86227369,1006.04455881,1097.77176124,127886.98859158,1069.10140422,1070.11821296
"80",2018-01-11,1148.27323958,1153.53077215,1009.58569415,1033.47195178,160004.82161868,1072.833018,1072.11604023
"81",2018-01-10,1171.51535293,1175.01437177,1094.8191841,1147.1376077,198487.14529056,1136.23079313,1136.42707461
"82",2018-01-09,1140.5777585,1194.05939401,1105.05676863,1170.7393982,190922.54745377,1160.07864979,1160.23873925
"83",2018-01-08,1246.34502113,1274.770384,1049.56278529,1143.74769441,186815.7926436,1179.11405463,1179.93447785
"84",2018-01-07,1235.31428659,1347.13095639,1153.98604235,1246.31282353,181354.89154725,1280.90900607,1279.09560821
"85",2018-01-06,1137.88022724,1253.7713525,1125.69077861,1236.72981868,172701.51263332,1196.53932419,1197.69533207
"86",2018-01-05,1202.66039857,1246.37355515,1133.68020034,1134.68793937,199594.24733797,1199.5173554,1197.80139897
"87",2018-01-04,1163.06292557,1285.77421463,1084.46360155,1211.37659611,233592.30052746,1171.6843658,1164.54241605
"88",2018-01-03,1200.35616792,1204.16218842,1135.14542758,1159.618942,153670.29299754,1166.44177332,1165.96004213
"89",2018-01-02,1045.44566307,1230.91712815,1045.44566307,1201.47634362,215608.65797769,1130.43262788,1127.27906362
"90",2018-01-01,1044.98090148,1060.38360044,1005.80248245,1044.58554311,134687.42655671,1035.79051668,1035.69278534
"91",2017-12-31,990.00599667,1082.40796729,973.46098068,1043.14917081,147960.6349865,1019.31550589,1021.36901678
