"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"1",2018-03-31,118.71449067,124.38431292,116.27574114,116.77281429,2343634.91442809,120.36362853,120.21667652
"2",2018-03-30,114.38478354,124.91896858,109.75109657,118.89972142,3753603.05194686,117.05109494,116.99179115
"3",2018-03-29,131.78712272,132.48149362,113.06132928,114.9314435,3980263.90687098,121.59145499,122.25648244
"4",2018-03-28,135.51039989,139.62761995,130.90082199,131.51439568,2444728.63223407,134.67334116,134.69922835
"5",2018-03-27,148.45418015,149.58841955,136.00038331,136.02523956,2695559.26673804,141.71078155,141.74111648
"6",2018-03-26,160.07942733,160.62802668,142.86660057,148.97897728,2652297.07960636,151.71542989,153.17502631
"7",2018-03-25,159.09428814,162.5634374,157.4247265,160.22094683,1409047.83572093,159.89303845,159.91854147
"8",2018-03-24,168.84915115,169.41585846,159.88026779,159.88026779,1687693.46083343,165.21500622,165.12655843
"9",2018-03-23,163.68849033,168.16579485,157.13193596,168.16579485,1954334.95198588,160.90156534,161.0228186
"10",2018-03-22,168.76240052,172.34106317,160.57421304,163.60517455,2385541.35589636,166.44845112,166.38513693
"11",2018-03-21,168.80715199,175.12723526,166.46551028,169.09406682,2640760.99501382,171.41357314,171.37836036
"12",2018-03-20,161.60785181,173.24774997,156.54790462,167.97957905,2847254.71979923,162.68812499,162.73861432
"13",2018-03-19,153.75187977,163.3388999,151.46583064,160.31221818,3063929.82110104,155.95998977,156.05657787
"14",2018-03-18,152.54286182,156.13454456,137.83414147,154.06810833,3823831.17946117,146.25363314,146.3052334
"15",2018-03-17,164.84599837,165.49628005,150.88567385,152.80806254,2603013.33174714,158.98362347,158.95118248
"16",2018-03-16,164.65630081,171.29924221,158.87252153,165.68472134,2600725.18493154,164.69456501,164.9269181
"17",2018-03-15,161.05142633,167.33765041,150.86019017,164.18557794,3415064.99602453,161.0524282,160.91312804
"18",2018-03-14,175.46510136,177.3732955,158.62483878,161.0326525,2915968.0154602,169.00374049,169.14421718
"19",2018-03-13,177.8914845,181.57235742,172.01547315,175.56359156,2589093.57930685,176.44331882,176.36760378
"20",2018-03-12,187.97069516,192.6565947,175.22520969,178.73308168,3097474.13662973,184.99943282,184.90810009
"21",2018-03-11,177.48589972,192.99355501,171.70263516,188.7421308,3474541.03514468,183.48355684,183.42212571
"22",2018-03-10,186.60811979,194.98511495,176.25864545,177.91642809,3459945.76607494,186.82131072,186.47872967
"23",2018-03-09,176.01182146,189.92626436,159.57739739,186.77190697,4997257.86962559,174.4970825,173.8348792
"24",2018-03-08,185.90951816,187.79829486,175.70416428,176.57942168,3406624.80239106,182.11097836,181.94265122
"25",2018-03-07,196.41959899,199.33051499,175.76021156,185.47528265,4013172.25702391,190.25892867,190.69331032
"26",2018-03-06,210.23861648,210.23861648,193.30653597,196.42914263,3265288.96067782,202.9333353,203.15289203
"27",2018-03-05,213.60658394,216.03453201,209.06287716,211.20200756,2623919.99818367,211.91232364,211.89406131
"28",2018-03-04,210.34641793,214.23052715,205.21250933,213.65145627,2594949.22389788,209.01396417,209.03322645
"29",2018-03-03,212.82455519,217.84775209,209.18328631,210.5441422,3161518.87872128,213.5989276,213.61489885
"30",2018-03-02,209.44160748,213.70023454,204.71965332,213.70023454,2850087.25560551,207.91799985,207.88327047
"31",2018-03-01,202.78878635,214.56970739,201.2236209,209.2720824,3143183.85617882,208.31879185,208.5040851
"32",2018-02-28,215.63389007,223.05778161,202.56117983,202.56117983,3609484.89370555,212.7400809,212.65492742
"33",2018-02-27,221.06568658,224.13643204,215.36709976,216.06348456,3817461.13628488,218.72668311,218.58970144
"34",2018-02-26,220.52052615,233.91967123,218.32655349,220.8336864,5695546.92231528,224.62099648,224.68445872
"35",2018-02-25,208.95519383,224.42023254,201.80487367,219.45582125,4581744.95774252,211.45183791,211.29396858
"36",2018-02-24,209.00240256,220.42882224,197.88769005,208.59565115,4343115.71609877,207.61621616,207.33790117
"37",2018-02-23,194.85449919,216.72585811,184.33885983,209.39916463,5015393.67623768,202.38789091,202.37139675
"38",2018-02-22,212.69279038,223.10677753,191.08302676,194.71362369,4875132.70948922,205.93118173,206.22353757
"39",2018-02-21,233.04282981,235.31360261,208.07399327,212.85028072,5522577.84820617,220.51366466,220.05670534
"40",2018-02-20,222.94142315,253.15840194,222.30117999,232.20313248,7283554.86361693,242.29514259,240.91703572
