"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"1",2018-03-31,172.43426054,182.13468693,171.37106846,179.34353512,124568.06614214,177.37721994,177.71638261
"2",2018-03-30,176.38202907,181.05363058,162.65456712,172.68059536,243282.75866044,171.6653027,171.71287351
"3",2018-03-29,199.24852574,201.00627081,174.23118339,176.73389227,297387.33048162,186.75654038,187.25096414
"4",2018-03-28,187.84942236,201.14153439,185.88799787,198.64438912,229668.52597171,193.018383,193.15993641
"5",2018-03-27,196.25766003,197.76635502,184.39389359,188.49609422,283977.80040848,190.24402422,190.17230475
"6",2018-03-26,211.52063741,212.33398029,188.6816702,196.93618311,189333.71553407,198.6567855,199.88894125
"7",2018-03-25,207.87430564,214.32946445,203.10373626,211.85976828,115983.82370604,207.75903137,207.73412099
"8",2018-03-24,215.60077373,216.92493609,208.88712816,208.88712816,116362.01339474,214.49951498,214.3997561
"9",2018-03-23,212.60653867,215.10319225,198.6465709,214.56361123,185695.01613194,206.96529073,206.79243125
"10",2018-03-22,218.5584882,223.66485486,204.44858557,212.84051735,191485.06750335,215.053166,214.64067355
"11",2018-03-21,224.0247617,236.39289326,215.47702897,218.80763777,256407.9561389,227.44371227,227.40709376
"12",2018-03-20,217.93374029,233.6772115,207.37624664,223.63172073,268556.91685853,217.39213601,217.59705764
"13",2018-03-19,209.20526844,221.91048807,201.98237762,216.31556279,307900.21144768,211.59340031,211.59822984
"14",2018-03-18,197.29368487,209.76866385,175.19184659,209.76866385,369073.09737317,188.35934894,188.06973263
"15",2018-03-17,215.77512094,215.81345315,194.19601148,197.74023747,245377.46593497,206.98530252,206.62060004
"16",2018-03-16,213.29528666,222.03555199,204.06125766,215.79570152,293726.10235198,211.99690202,212.05980416
"17",2018-03-15,215.32782668,225.77308824,198.33493555,213.4582372,347926.64206883,213.26342137,213.11277139
"18",2018-03-14,247.92820874,251.87235561,207.91802279,215.18718233,341649.36398018,233.9921744,234.77746387
"19",2018-03-13,258.89965025,266.03168876,246.34785276,247.84865192,271115.54695582,254.70730399,254.81299298
"20",2018-03-12,281.61789451,286.89159877,251.72330909,260.12966917,250609.3206229,272.29549877,272.68239534
"21",2018-03-11,256.35997637,286.89985432,247.50633955,281.68845427,259353.84652654,266.41950092,266.45652567
"22",2018-03-10,288.33979673,295.62227111,255.39833843,257.2496133,294655.34970078,283.47390239,281.80604518
"23",2018-03-09,277.9111746,287.31113373,242.73042394,287.31113373,536183.12295902,264.96006433,264.87301497
"24",2018-03-08,339.28829646,339.28829646,276.60938551,278.90235613,440226.9932388,310.27619221,309.07409524
"25",2018-03-07,345.99311133,364.26036844,321.43484067,338.35884957,474198.89115354,344.68655595,346.11393554
"26",2018-03-06,370.85377298,370.85377298,342.19918452,345.97414444,266331.02371041,356.45245566,356.05683542
"27",2018-03-05,368.6184922,379.97265818,355.79800849,373.30968881,346534.76403248,368.36599315,368.50351875
"28",2018-03-04,351.95054674,369.15149599,338.37765255,368.45166655,331249.81065079,351.09684802,351.59710583
"29",2018-03-03,344.90395936,374.14199377,343.77301593,352.60002398,573792.78830388,356.25496868,356.19849541
"30",2018-03-02,313.41009267,351.81474501,310.86284561,344.8460475,500212.82849898,326.89331671,324.47052416
"31",2018-03-01,285.4809826,315.16972924,283.81878528,313.38919268,198778.56770718,297.59791037,297.35468795
"32",2018-02-28,300.65023427,305.29104421,285.1436476,285.25910568,166952.9731392,295.33217098,294.85144994
"33",2018-02-27,294.0979286,308.30818479,288.34191789,301.86592649,212579.80509012,299.10890769,298.73037695
"34",2018-02-26,280.36492353,299.71807978,271.11754039,293.626221,185632.77433379,284.92322397,284.63396805
"35",2018-02-25,272.77428838,283.33784533,265.79831907,280.04099445,122880.28835402,274.00805046,273.96351349
"36",2018-02-24,285.55512669,294.88541995,264.39679758,272.6938695,227062.88506463,278.96201011,278.49464562
"37",2018-02-23,281.48194546,299.07544365,269.52008639,285.09576271,311451.37746384,282.46920613,282.68704353
"38",2018-02-22,321.36627038,326.00859952,281.33195419,281.33195419,366583.63149332,302.36381299,300.22137503
"39",2018-02-21,303.53160035,338.89165673,287.00868818,320.52105464,522465.51767862,310.77455264,308.93495509
"40",2018-02-20,316.7627905,321.93588363,303.18281419,303.51167889,230557.76163097,316.8712845,316.85885517
"41",2018-02-19,298.89618641,319.40006945,297.17650663,316.06089806,213476.26434698,310.72512545,310.90802763
"42",2018-02-18,326.143746,327.69649055,292.8014644,300.08051067,226118.46917085,311.93778038,310.95163761
"43",2018-02-17,295.8490334,334.79701556,293.1839816,325.71823056,403992.8260936,321.21862117,319.8265102
"44",2018-02-16,299.87277456,301.44280479,280.26833056,295.6153076,218139.55979108,291.12415556,291.05376123
"45",2018-02-15,277.15800185,304.62608855,269.03870423,302.38847646,284260.30870428,280.18408162,281.0377926
"46",2018-02-14,234.16374374,276.81838015,234.16374374,276.81838015,416098.3921128,260.0895321,256.50134706
"47",2018-02-13,247.56208543,248.39700005,230.07101898,234.13537928,201928.61002364,236.62619093,236.72286447
